title,genre,subgenre,vocal_gender,mood,target_bpm,energy_score,activity_fit,hook_timing,style_influence,weirdness,minimum_duration_seconds,vocals_required,similarity_cluster,suno_prompt,status
Silk Lover,Dark Female Alt Pop,Noir Pop,female,melancholic,98,4,moody car ride,0:12,65,55,201,TRUE,dark-c17,"Noir Pop, melancholic female lead vocal, airy head-voice float; 98 BPM; production: harp glissando, tape-saturated synths, icy bell tones; theme: the obsession poem; hook at 0:12 (echoed call-and-response hook); TikTok-hook-first arrangement; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Velvet Girl,Dark Female Alt Pop,Noir Pop,female,obsessive,90,6,3am headphone listen,0:08,72,40,204,TRUE,dark-c17,"Noir Pop, obsessive female lead vocal, dreamy detached delivery; 90 BPM; production: drowned reverb space, filtered breath fx, industrial percussion; theme: the obsession poem; hook at 0:08 (name-drop hook); playlist-core sonic palette; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Cold Smoke,Dark Female Alt Pop,Whispery Alt-Pop,female,smolder,92,5,3am headphone listen,0:10,76,54,149,TRUE,dark-c17,"Whispery Alt-Pop, smolder female lead vocal, airy head-voice float; 92 BPM; production: distant gated drums, reversed vocal swells, harp glissando; theme: watching him from outside; hook at 0:10 (pre-chorus build into anthemic hook); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Slow Knife,Dark Female Alt Pop,Noir Pop,female,yearning,81,6,rain-on-glass mood,0:08,70,42,117,TRUE,dark-c17,"Noir Pop, yearning female lead vocal, dreamy detached delivery; 81 BPM; production: harp glissando, tape-saturated synths, distant gated drums; theme: the obsession poem; hook at 0:08 (post-chorus 'oh-oh' tag); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Mirror Lover III,Dark Female Alt Pop,Bedroom Alt-Pop,female,icy,76,5,3am headphone listen,0:08,74,42,108,TRUE,dark-c17,"Bedroom Alt-Pop, icy female lead vocal, hushed double-tracked harmony; 76 BPM; production: sub-heavy ambient pads, filtered breath fx, reversed vocal swells; theme: ghost girl confession; hook at 0:08 (single-line repeatable hook); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Ghost Crown,Dark Female Alt Pop,Cinematic Dark Pop,female,seductive,89,4,moody car ride,0:08,80,47,203,TRUE,dark-c17,"Cinematic Dark Pop, seductive female lead vocal, airy head-voice float; 89 BPM; production: filtered breath fx, sub-heavy ambient pads, distant gated drums; theme: the version of me he killed; hook at 0:08 (name-drop hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Sour Ghost,Dark Female Alt Pop,Noir Pop,female,vindictive,84,4,rain-on-glass mood,0:14,77,53,169,TRUE,dark-c17,"Noir Pop, vindictive female lead vocal, hushed double-tracked harmony; 84 BPM; production: filtered breath fx, tape-saturated synths, icy bell tones; theme: icy revenge fantasy; hook at 0:14 (echoed call-and-response hook); billboard-ready master; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Cold Hour,Dark Female Alt Pop,Witchy Alt-Pop,female,obsessive,101,6,rain-on-glass mood,0:10,66,48,150,TRUE,dark-c17,"Witchy Alt-Pop, obsessive female lead vocal, spoken-word into sung hook; 101 BPM; production: reversed vocal swells, tape-saturated synths, cinematic string ostinato; theme: he never knew; hook at 0:10 (title-as-hook payoff); playlist-core sonic palette; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Slow Funeral (feat. The Night),Dark Female Alt Pop,Goth Pop,female,smolder,95,3,3am headphone listen,0:10,70,48,121,TRUE,dark-c17,"Goth Pop, smolder female lead vocal, hushed double-tracked harmony; 95 BPM; production: warped piano, cinematic string ostinato, sub-heavy ambient pads; theme: the obsession poem; hook at 0:10 (echoed call-and-response hook); billboard-ready master; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Pale Letter,Dark Female Alt Pop,Goth Pop,female,haunting,99,5,moody car ride,0:08,74,48,117,TRUE,dark-c17,"Goth Pop, haunting female lead vocal, airy head-voice float; 99 BPM; production: distant gated drums, reversed vocal swells, vinyl noise floor; theme: ghost girl confession; hook at 0:08 (name-drop hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Silk Crime Reprise,Dark Female Alt Pop,Whispery Alt-Pop,female,icy,94,3,candlelight ride,0:08,79,48,168,TRUE,dark-c18,"Whispery Alt-Pop, icy female lead vocal, spoken-word into sung hook; 94 BPM; production: cinematic string ostinato, drowned reverb space, filtered breath fx; theme: the prettiest goodbye; hook at 0:08 (post-chorus 'oh-oh' tag); TikTok-hook-first arrangement; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Mirror Confession,Dark Female Alt Pop,Noir Pop,female,wounded,107,4,solo apartment night,0:14,65,49,153,TRUE,dark-c18,"Noir Pop, wounded female lead vocal, raw close-mic emotional; 107 BPM; production: drowned reverb space, distant gated drums, tape-saturated synths; theme: the obsession poem; hook at 0:14 (echoed call-and-response hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Petal Lover (feat. The Night),Dark Female Alt Pop,Whispery Alt-Pop,female,wounded,99,5,3am headphone listen,0:14,75,44,175,TRUE,dark-c18,"Whispery Alt-Pop, wounded female lead vocal, airy head-voice float; 99 BPM; production: reversed vocal swells, sub-heavy ambient pads, vinyl noise floor; theme: soft villain era; hook at 0:14 (post-chorus 'oh-oh' tag); TikTok-hook-first arrangement; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Static Suicide,Dark Female Alt Pop,Witchy Alt-Pop,female,melancholic,92,4,3am headphone listen,0:10,72,42,177,TRUE,dark-c18,"Witchy Alt-Pop, melancholic female lead vocal, spoken-word into sung hook; 92 BPM; production: tape-saturated synths, sub-heavy ambient pads, warped piano; theme: watching him from outside; hook at 0:10 (melodic ad-lib hook); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Pale Funeral (feat. The Night),Dark Female Alt Pop,Whispery Alt-Pop,female,yearning,102,3,solo apartment night,0:12,67,54,136,TRUE,dark-c18,"Whispery Alt-Pop, yearning female lead vocal, spoken-word into sung hook; 102 BPM; production: reversed vocal swells, filtered breath fx, warped piano; theme: I miss being numb; hook at 0:12 (echoed call-and-response hook); playlist-core sonic palette; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Pretty Smoke,Dark Female Alt Pop,Noir Pop,female,vindictive,107,5,candlelight ride,0:08,79,51,155,TRUE,dark-c18,"Noir Pop, vindictive female lead vocal, spoken-word into sung hook; 107 BPM; production: drowned reverb space, sub-heavy ambient pads, icy bell tones; theme: soft villain era; hook at 0:08 (post-chorus 'oh-oh' tag); billboard-ready master; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Pretty Hour,Dark Female Alt Pop,Whispery Alt-Pop,female,dissociative,102,6,solo apartment night,0:12,77,44,163,TRUE,dark-c18,"Whispery Alt-Pop, dissociative female lead vocal, whispery breath-close vocal; 102 BPM; production: vinyl noise floor, drowned reverb space, reversed vocal swells; theme: the prettiest goodbye; hook at 0:12 (echoed call-and-response hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Holy Smoke (feat. The Night),Dark Female Alt Pop,Whispery Alt-Pop,female,haunting,86,3,moody car ride,0:12,78,41,144,TRUE,dark-c18,"Whispery Alt-Pop, haunting female lead vocal, spoken-word into sung hook; 86 BPM; production: sub-heavy ambient pads, warped piano, icy bell tones; theme: ghost girl confession; hook at 0:12 (melodic ad-lib hook); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Pale Lullaby,Dark Female Alt Pop,Witchy Alt-Pop,female,vindictive,89,5,after-hours bath,0:14,70,41,208,TRUE,dark-c18,"Witchy Alt-Pop, vindictive female lead vocal, spoken-word into sung hook; 89 BPM; production: cinematic string ostinato, harp glissando, drowned reverb space; theme: ghost girl confession; hook at 0:14 (pre-chorus build into anthemic hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Sad Hour,Dark Female Alt Pop,Cinematic Dark Pop,female,haunting,108,6,moody car ride,0:08,76,42,129,TRUE,dark-c18,"Cinematic Dark Pop, haunting female lead vocal, hushed double-tracked harmony; 108 BPM; production: warped piano, filtered breath fx, industrial percussion; theme: the version of me he killed; hook at 0:08 (earworm vowel-loop hook); billboard-ready master; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Petal Letter II,Dark Female Alt Pop,Noir Pop,female,obsessive,87,3,solo apartment night,0:08,65,43,192,TRUE,dark-c19,"Noir Pop, obsessive female lead vocal, airy head-voice float; 87 BPM; production: distant gated drums, filtered breath fx, harp glissando; theme: burn it down quietly; hook at 0:08 (post-chorus 'oh-oh' tag); TikTok-hook-first arrangement; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Holy Lullaby,Dark Female Alt Pop,Goth Pop,female,vengeful,98,6,moody car ride,0:08,70,41,138,TRUE,dark-c19,"Goth Pop, vengeful female lead vocal, hushed double-tracked harmony; 98 BPM; production: sub-heavy ambient pads, tape-saturated synths, industrial percussion; theme: soft villain era; hook at 0:08 (echoed call-and-response hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Mirror Letter,Dark Female Alt Pop,Bedroom Alt-Pop,female,melancholic,86,6,candlelight ride,0:12,77,50,116,TRUE,dark-c19,"Bedroom Alt-Pop, melancholic female lead vocal, spoken-word into sung hook; 86 BPM; production: vinyl noise floor, sub-heavy ambient pads, drowned reverb space; theme: watching him from outside; hook at 0:12 (phone-number style chant); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Lonely Bones,Dark Female Alt Pop,Noir Pop,female,melancholic,105,5,3am headphone listen,0:08,68,55,206,TRUE,dark-c19,"Noir Pop, melancholic female lead vocal, raw close-mic emotional; 105 BPM; production: tape-saturated synths, harp glissando, reversed vocal swells; theme: burn it down quietly; hook at 0:08 (single-line repeatable hook); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Bruise Ghost (feat. The Night),Dark Female Alt Pop,Whispery Alt-Pop,female,melancholic,104,5,rain-on-glass mood,0:10,77,44,198,TRUE,dark-c19,"Whispery Alt-Pop, melancholic female lead vocal, hushed double-tracked harmony; 104 BPM; production: vinyl noise floor, distant gated drums, tape-saturated synths; theme: I miss being numb; hook at 0:10 (title-as-hook payoff); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Holy Crime,Dark Female Alt Pop,Goth Pop,female,seductive,100,4,3am headphone listen,0:10,69,44,150,TRUE,dark-c19,"Goth Pop, seductive female lead vocal, whispery breath-close vocal; 100 BPM; production: warped piano, drowned reverb space, harp glissando; theme: icy revenge fantasy; hook at 0:10 (single-line repeatable hook); sync-license cinematic finish; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Ghost Crime Reprise,Dark Female Alt Pop,Whispery Alt-Pop,female,obsessive,103,4,candlelight ride,0:10,65,54,135,TRUE,dark-c19,"Whispery Alt-Pop, obsessive female lead vocal, hushed double-tracked harmony; 103 BPM; production: industrial percussion, cinematic string ostinato, tape-saturated synths; theme: loving the wrong one again; hook at 0:10 (melodic ad-lib hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Static Bedroom (feat. The Night),Dark Female Alt Pop,Cinematic Dark Pop,female,melancholic,96,4,moody car ride,0:12,71,47,99,TRUE,dark-c19,"Cinematic Dark Pop, melancholic female lead vocal, hushed double-tracked harmony; 96 BPM; production: warped piano, sub-heavy ambient pads, distant gated drums; theme: soft villain era; hook at 0:12 (melodic ad-lib hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Bruise Lullaby (feat. The Night),Dark Female Alt Pop,Witchy Alt-Pop,female,haunting,93,5,rain-on-glass mood,0:10,76,54,125,TRUE,dark-c19,"Witchy Alt-Pop, haunting female lead vocal, spoken-word into sung hook; 93 BPM; production: warped piano, reversed vocal swells, tape-saturated synths; theme: icy revenge fantasy; hook at 0:10 (post-chorus 'oh-oh' tag); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Ghost Bones,Dark Female Alt Pop,Noir Pop,female,smolder,78,6,moody car ride,0:12,80,43,140,TRUE,dark-c19,"Noir Pop, smolder female lead vocal, whispery breath-close vocal; 78 BPM; production: drowned reverb space, vinyl noise floor, harp glissando; theme: soft villain era; hook at 0:12 (two-word chant hook); modern radio-ready mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Velvet Lullaby,Dark Female Alt Pop,Witchy Alt-Pop,female,obsessive,81,4,moody car ride,0:12,74,46,101,TRUE,dark-c20,"Witchy Alt-Pop, obsessive female lead vocal, hushed double-tracked harmony; 81 BPM; production: icy bell tones, reversed vocal swells, tape-saturated synths; theme: self-destruct ritual; hook at 0:12 (post-chorus 'oh-oh' tag); playlist-core sonic palette; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Burned Hour (feat. The Night),Dark Female Alt Pop,Goth Pop,female,vengeful,108,5,candlelight ride,0:10,78,47,128,TRUE,dark-c20,"Goth Pop, vengeful female lead vocal, raw close-mic emotional; 108 BPM; production: filtered breath fx, sub-heavy ambient pads, warped piano; theme: soft villain era; hook at 0:10 (melodic ad-lib hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Lonely Saint,Dark Female Alt Pop,Whispery Alt-Pop,female,haunting,111,5,solo apartment night,0:08,69,46,150,TRUE,dark-c20,"Whispery Alt-Pop, haunting female lead vocal, airy head-voice float; 111 BPM; production: industrial percussion, warped piano, cinematic string ostinato; theme: he never knew; hook at 0:08 (phone-number style chant); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Ghost Suicide,Dark Female Alt Pop,Witchy Alt-Pop,female,fragile,93,5,solo apartment night,0:12,79,41,177,TRUE,dark-c20,"Witchy Alt-Pop, fragile female lead vocal, airy head-voice float; 93 BPM; production: drowned reverb space, industrial percussion, tape-saturated synths; theme: the obsession poem; hook at 0:12 (name-drop hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Pretty Roses,Dark Female Alt Pop,Cinematic Dark Pop,female,dissociative,92,5,3am headphone listen,0:14,75,53,115,TRUE,dark-c20,"Cinematic Dark Pop, dissociative female lead vocal, raw close-mic emotional; 92 BPM; production: drowned reverb space, tape-saturated synths, reversed vocal swells; theme: icy revenge fantasy; hook at 0:14 (title-as-hook payoff); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Mirror Hour (feat. The Night),Dark Female Alt Pop,Goth Pop,female,vindictive,99,3,rain-on-glass mood,0:10,79,51,172,TRUE,dark-c20,"Goth Pop, vindictive female lead vocal, dreamy detached delivery; 99 BPM; production: harp glissando, reversed vocal swells, icy bell tones; theme: loving the wrong one again; hook at 0:10 (melodic ad-lib hook); modern emotional retention design; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Quiet Ghost,Dark Female Alt Pop,Whispery Alt-Pop,female,fragile,78,5,candlelight ride,0:10,71,54,130,TRUE,dark-c20,"Whispery Alt-Pop, fragile female lead vocal, airy head-voice float; 78 BPM; production: warped piano, industrial percussion, sub-heavy ambient pads; theme: the obsession poem; hook at 0:10 (pre-chorus build into anthemic hook); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Razor Confession,Dark Female Alt Pop,Bedroom Alt-Pop,female,smolder,84,5,rain-on-glass mood,0:08,69,45,104,TRUE,dark-c20,"Bedroom Alt-Pop, smolder female lead vocal, raw close-mic emotional; 84 BPM; production: reversed vocal swells, industrial percussion, sub-heavy ambient pads; theme: loving the wrong one again; hook at 0:08 (earworm vowel-loop hook); premium polished mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Holy Bones,Dark Female Alt Pop,Goth Pop,female,dissociative,106,3,solo apartment night,0:10,71,45,93,TRUE,dark-c20,"Goth Pop, dissociative female lead vocal, spoken-word into sung hook; 106 BPM; production: sub-heavy ambient pads, tape-saturated synths, harp glissando; theme: burn it down quietly; hook at 0:10 (pre-chorus build into anthemic hook); playlist-core sonic palette; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Sad Crown (feat. The Night),Dark Female Alt Pop,Bedroom Alt-Pop,female,icy,109,6,after-hours bath,0:12,66,42,129,TRUE,dark-c20,"Bedroom Alt-Pop, icy female lead vocal, spoken-word into sung hook; 109 BPM; production: cinematic string ostinato, harp glissando, warped piano; theme: I miss being numb; hook at 0:12 (earworm vowel-loop hook); billboard-ready master; vocals required; replayable radio-quality; feels familiar to fans of mainstream dark female alt pop but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Astral Anthem,Psychedelic Stadium Trap,Rage Trap,male,cocky,141,8,skyline anthem,0:06,67,51,146,TRUE,psych-c01,"Rage Trap, cocky male lead vocal, melodic rage chant; 141 BPM; production: stadium reverb, supersaw leads, choir swells; theme: sonic baptism; hook at 0:06 (pre-chorus build into anthemic hook); modern radio-ready mix; vocals required; replayable radio-quality; feels familiar to fans of mainstream psychedelic stadium trap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Titan Drift,Psychedelic Stadium Trap,Sci-Fi Trap,male,epic,145,10,highway rage drive,0:08,69,41,159,TRUE,psych-c01,"Sci-Fi Trap, epic male lead vocal, melodic rage chant; 145 BPM; production: choir swells, filtered build risers, vocal reverse fx; theme: from the bottom to galactic; hook at 0:08 (single-line repeatable hook); modern emotional retention design; vocals required; replayable radio-quality; feels familiar to fans of mainstream psychedelic stadium trap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Eclipse Roar,Psychedelic Stadium Trap,Astral Trap,male,cocky,145,9,movie trailer moment,0:06,72,53,108,TRUE,psych-c01,"Astral Trap, cocky male lead vocal, psychedelic processed vocal; 145 BPM; production: tribal percussion, godlike sub drop, vocal reverse fx; theme: the universe is mine; hook at 0:06 (earworm vowel-loop hook); festival-ready loudness; vocals required; replayable radio-quality; feels familiar to fans of mainstream psychedelic stadium trap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Rage Storm,Psychedelic Stadium Trap,Stadium Trap Anthem,male,otherworldly,147,10,highway rage drive,0:12,78,52,210,TRUE,psych-c01,"Stadium Trap Anthem, otherworldly male lead vocal, psychedelic processed vocal; 147 BPM; production: supersaw leads, psychedelic guitar swirl, stadium reverb; theme: from the bottom to galactic; hook at 0:12 (two-word chant hook); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream psychedelic stadium trap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Voltage Storm,Psychedelic Stadium Trap,Cinematic Trap,male,rebellious,143,10,highway rage drive,0:06,77,43,202,TRUE,psych-c01,"Cinematic Trap, rebellious male lead vocal, autotuned anthemic shout; 143 BPM; production: cinematic strings, filtered build risers, vocal reverse fx; theme: stargazing flex; hook at 0:06 (name-drop hook); TikTok-hook-first arrangement; vocals required; replayable radio-quality; feels familiar to fans of mainstream psychedelic stadium trap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Galaxy Run,Psychedelic Stadium Trap,Psychedelic Trap,male,victorious,146,10,stadium walkout,0:06,70,41,104,TRUE,psych-c01,"Psychedelic Trap, victorious male lead vocal, tribal chant ad-libs; 146 BPM; production: tribal percussion, rolling 808s, distorted bass drops; theme: running on faith; hook at 0:06 (post-chorus 'oh-oh' tag); Spotify-editorial-ready production; vocals required; replayable radio-quality; feels familiar to fans of mainstream psychedelic stadium trap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Rage Sky,Psychedelic Stadium Trap,Psychedelic Trap,male,euphoric,131,8,after-hours mosh,0:08,76,41,143,TRUE,psych-c01,"Psychedelic Trap, euphoric male lead vocal, psychedelic processed vocal; 131 BPM; production: choir swells, rolling 808s, supersaw leads; theme: stargazing flex; hook at 0:08 (post-chorus 'oh-oh' tag); billboard-ready master; vocals required; replayable radio-quality; feels familiar to fans of mainstream psychedelic stadium trap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Inferno Hour,Psychedelic Stadium Trap,Rage Trap,male,cocky,150,8,movie trailer moment,0:12,74,50,156,TRUE,psych-c01,"Rage Trap, cocky male lead vocal, stacked harmonized hook; 150 BPM; production: tribal percussion, psychedelic guitar swirl, supersaw leads; theme: from the bottom to galactic; hook at 0:12 (pre-chorus build into anthemic hook); modern emotional retention design; vocals required; replayable radio-quality; feels familiar to fans of mainstream psychedelic stadium trap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Eclipse Run,Psychedelic Stadium Trap,Rage Trap,male,cocky,147,8,highway rage drive,0:08,69,55,111,TRUE,psych-c01,"Rage Trap, cocky male lead vocal, tribal chant ad-libs; 147 BPM; production: psychedelic guitar swirl, godlike sub drop, vocal reverse fx; theme: no comedown; hook at 0:08 (melodic ad-lib hook); TikTok-hook-first arrangement; vocals required; replayable radio-quality; feels familiar to fans of mainstream psychedelic stadium trap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Rage Echo (feat. The Night),Psychedelic Stadium Trap,Psychedelic Trap,male,rebellious,142,10,stadium walkout,0:10,79,51,129,TRUE,psych-c01,"Psychedelic Trap, rebellious male lead vocal, epic belted chorus; 142 BPM; production: anthemic snare drops, cinematic strings, godlike sub drop; theme: sonic baptism; hook at 0:10 (single-line repeatable hook); playlist-core sonic palette; vocals required; replayable radio-quality; feels familiar to fans of mainstream psychedelic stadium trap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
Throne Storm Reborn,Psychedelic Stadium Trap,Sci-Fi Trap,male,euphoric,144,9,festival main stage,0:12,79,43,138,TRUE,psych-c02,"Sci-Fi Trap, euphoric male lead vocal, epic belted chorus; 144 BPM; production: godlike sub drop, psychedelic guitar swirl, filtered build risers; theme: throne room walk-in; hook at 0:12 (name-drop hook); headphone-detail production; vocals required; replayable radio-quality; feels familiar to fans of mainstream psychedelic stadium trap but original; minimum 2 minutes; strong cinematic intro under 8 seconds; avoid AI artifacts; emotionally addictive; no copyrighted artist references.",pending
